,id,url,landmark_id,category_name,name,lat,lon,city,state,country,image_path
260389,007f40daf4665a7d,https://upload.wikimedia.org/wikipedia/commons/8/8d/Cortinarius_australiensisLNCP4.jpg,186200,Category:Lane_Cove_National_Park,Riverside Drive,-33.7836,151.139,Sydney,New South Wales,Australia,data/train/images/0/0/7/007f40daf4665a7d.jpg
268308,0255d1bff7611f8e,http://upload.wikimedia.org/wikipedia/commons/2/2b/Dave_evan_bicentennial_tree_3.JPG,81541,Category:Warren_National_Park,Warren River Loop,-34.5006,115.956,,Western Australia,Australia,data/train/images/0/2/5/0255d1bff7611f8e.jpg
281816,0010735a4548dc8d,https://upload.wikimedia.org/wikipedia/commons/e/e3/Noosa_beach-raffi_kojian-CIMG6544.JPG,182417,Category:Noosa_National_Park,Tanglewood Track,-26.38444444,153.11277778,Noosa Heads,Queensland,Australia,data/train/images/0/0/1/0010735a4548dc8d.jpg
282376,01e547aeea3ab3f5,https://upload.wikimedia.org/wikipedia/commons/9/9e/Pomatostomus_superciliosus_%2832284540420%29.jpg,174812,Category:Wyperfeld_National_Park,Millers Track,-35.3892,141.877,,Victoria,Australia,data/train/images/0/1/e/01e547aeea3ab3f5.jpg
299972,01318597f13b0fd7,https://upload.wikimedia.org/wikipedia/commons/5/5a/Willowbank_Wildlife_Reserve_08.JPG,163364,Category:Willowbank_Wildlife_Reserve,,-43.4628,172.594,Christchurch,Canterbury,New Zealand,data/train/images/0/1/3/01318597f13b0fd7.jpg
312186,0281396ad07e2278,https://upload.wikimedia.org/wikipedia/commons/7/7c/4%E5%85%84%E5%BC%9F_brothers_-_panoramio.jpg,7930,Category:Lake_Wakatipu,Queenstown-Lakes District,-45.085,168.561,,Otago,New Zealand,data/train/images/0/2/8/0281396ad07e2278.jpg
329819,005a762f7e4d9b2c,https://upload.wikimedia.org/wikipedia/commons/8/87/Ferry_at_Wellington_Heads%2C_New_Zealand%2C_3rd._Dec._2010_-_Flickr_-_PhillipC.jpg,80942,Category:Wellington_Harbour,Ngauranga,-41.267655,174.838536,Wellington,Wellington,New Zealand,data/train/images/0/0/5/005a762f7e4d9b2c.jpg
342337,004ad6102adffac4,http://upload.wikimedia.org/wikipedia/commons/1/1e/Sydney_Olympic_Park_Abattoir_Heritage_Precinct.JPG,170575,Category:Sydney_Olympic_Park,Olympic Plaza,-33.8475,151.065,Sydney,New South Wales,Australia,data/train/images/0/0/4/004ad6102adffac4.jpg
344080,00fb7313c422b1c9,https://upload.wikimedia.org/wikipedia/commons/1/14/Seals%40melb_zoo.jpg,72871,Category:Melbourne_Zoo,Melbourne Zoological Gardens,-37.784762,144.952095,Melbourne,Victoria,Australia,data/train/images/0/0/f/00fb7313c422b1c9.jpg
346717,024e62cd20e19e66,https://upload.wikimedia.org/wikipedia/commons/f/f8/Sunland_Shopping_Centre_Opening_Plaque%2C_1988.jpg,119768,"Category:Caloundra,_Queensland",,-26.79861111,153.12888889,Sunshine Coast Regional,Queensland,Australia,data/train/images/0/2/4/024e62cd20e19e66.jpg
355007,01f2b583385d612f,https://upload.wikimedia.org/wikipedia/commons/f/f0/Drummond_res-10.JPG,139591,Category:Drummond_Nature_Reserve,Drummond Nature Reserve,-31.317,116.407,,Western Australia,Australia,data/train/images/0/1/f/01f2b583385d612f.jpg
369769,029681885195d105,https://upload.wikimedia.org/wikipedia/commons/f/f6/BBlanche-3866.jpg,73053,Category:Guy_Fawkes_River_National_Park,The Gulf,-30.03166667,152.3011111,,New South Wales,Australia,data/train/images/0/2/9/029681885195d105.jpg
389878,006b2c4c552123ba,https://upload.wikimedia.org/wikipedia/commons/2/25/Lady_Norwood_Rose_-_panoramio.jpg,140361,Category:Wellington_Botanic_Garden,Discovery Garden,-41.2829,174.766,Wellington,Wellington,New Zealand,data/train/images/0/0/6/006b2c4c552123ba.jpg
397841,006b0346bf9c478b,https://upload.wikimedia.org/wikipedia/commons/f/f8/Uluru_with_Kata_Tjuta_in_the_background.jpg,148806,Category:Uluru-Kata_Tjuta_National_Park,Petermann,-25.322076,130.985732,,,Australia,data/train/images/0/0/6/006b0346bf9c478b.jpg
399638,01406e372460ed7b,https://upload.wikimedia.org/wikipedia/commons/d/d2/Barossa_Valley_Banner.jpg,10933,Category:Barossa_Valley,Barossa Trail,-34.53333333,138.95,Tanunda,South Australia,Australia,data/train/images/0/1/4/01406e372460ed7b.jpg
411163,00a80f1f0dba44c2,http://upload.wikimedia.org/wikipedia/commons/2/2a/Southern-cross-station-melbourne-morning.jpg,161229,Category:Southern_Cross_Station,Southern Cross,-37.81835833,144.95241667,Melbourne,Victoria,Australia,data/train/images/0/0/a/00a80f1f0dba44c2.jpg
411314,01f15b240a667181,https://upload.wikimedia.org/wikipedia/commons/c/c0/Island_Trader_%2832004909644%29.jpg,17949,Category:Lord_Howe_Island,Smoking Tree Ridge Road,-31.55,159.08333333,Lord Howe Island,New South Wales,Australia,data/train/images/0/1/f/01f15b240a667181.jpg
433495,00a2b222d7f08fb4,https://upload.wikimedia.org/wikipedia/commons/1/15/Freo_prison_WMAU_gnangarra-139.jpg,110717,Category:Fremantle_Prison,Fremantle Prison,-32.055039,115.753177,Fremantle,Western Australia,Australia,data/train/images/0/0/a/00a2b222d7f08fb4.jpg
448892,0074a174e8830af2,https://upload.wikimedia.org/wikipedia/commons/0/0e/Kosciuszko_National_Park_NSW_2627%2C_Australia_-_panoramio_%28246%29.jpg,73064,Category:Kosciuszko_National_Park,Intake Tower,-35.99833333,148.3344444,,New South Wales,Australia,data/train/images/0/0/7/0074a174e8830af2.jpg
465341,0160a9da26c47d50,https://upload.wikimedia.org/wikipedia/commons/1/1f/East_Cape_Road%2C_Gisborne_District.jpg,94424,Category:East_Cape,East Cape Lighthouse,-37.6927,178.55,,Gisborne,New Zealand,data/train/images/0/1/6/0160a9da26c47d50.jpg
497090,02b0fe99e07acaa3,https://upload.wikimedia.org/wikipedia/commons/3/32/Grays_Point_-_panoramio_%282%29.jpg,177194,Category:Royal_National_Park,Karani Trail,-34.13166667,151.0511111,,New South Wales,Australia,data/train/images/0/2/b/02b0fe99e07acaa3.jpg
506307,0283937e36c0239a,https://upload.wikimedia.org/wikipedia/commons/6/65/Noosa_National_Park%2C_Noosa_Heads%2C_Queensland_04.jpg,182417,Category:Noosa_National_Park,Tanglewood Track,-26.38444444,153.11277778,Noosa Heads,Queensland,Australia,data/train/images/0/2/8/0283937e36c0239a.jpg
524870,02a6075250cf1f28,https://upload.wikimedia.org/wikipedia/commons/b/b4/Ostend%2C_New_Zealand.jpg,81069,Category:Waiheke_Island,Awaroa Organic Winery,-36.8,175.1,Waiheke,Auckland,New Zealand,data/train/images/0/2/a/02a6075250cf1f28.jpg
524875,02e42d5d22f693ac,https://upload.wikimedia.org/wikipedia/commons/1/18/Ocean_Beach_%2823980693803%29.jpg,130118,Category:Cocos_(Keeling)_Islands,Jalan Bunga Mawar,-12.1175,96.895,Bantam,,Australia,data/train/images/0/2/e/02e42d5d22f693ac.jpg
603750,0164983b631f78ee,https://upload.wikimedia.org/wikipedia/commons/4/46/Up_close_to_Uluru.jpg,148806,Category:Uluru-Kata_Tjuta_National_Park,Petermann,-25.322076,130.985732,,,Australia,data/train/images/0/1/6/0164983b631f78ee.jpg
632873,02c5d61029956165,http://upload.wikimedia.org/wikipedia/commons/b/b9/Aircraftman_1st_Class_E_H_Lee_gravestone_in_the_Wagga_Wagga_War_Cemetery.jpg,186921,Category:Wagga_Wagga_War_Cemetery,Rocky Hill Reserve,-35.13698428,147.38822861,Wagga Wagga City Council,New South Wales,Australia,data/train/images/0/2/c/02c5d61029956165.jpg
638548,01b16fadb6285c26,http://upload.wikimedia.org/wikipedia/commons/c/c5/NarrowsBridgeLocation.gif,143736,"Category:Narrows_Bridge,_Perth",Narrows Bridge,-31.96333333,115.84694444,Perth,Western Australia,Australia,data/train/images/0/1/b/01b16fadb6285c26.jpg
639730,0248f7c452d3c20e,https://upload.wikimedia.org/wikipedia/commons/5/50/Jacaranda_Time_Port_Augusta.jpg,195301,Category:Flinders_Ranges,Moolooloo,-30.92,138.62,,South Australia,Australia,data/train/images/0/2/4/0248f7c452d3c20e.jpg
709730,000c3af381491785,http://upload.wikimedia.org/wikipedia/commons/c/c2/Petrogale_xanthopus_-_Monarto_2.JPG,183340,Category:Monarto_Zoo,,-35.1021,139.142,,South Australia,Australia,data/train/images/0/0/0/000c3af381491785.jpg
743475,02fca5bb4d2e5f8a,https://upload.wikimedia.org/wikipedia/commons/b/b4/The_Lavendar_Hills_of_the_North_Flinders_Ranges_-_panoramio.jpg,195301,Category:Flinders_Ranges,Moolooloo,-30.92,138.62,,South Australia,Australia,data/train/images/0/2/f/02fca5bb4d2e5f8a.jpg
752200,023c7b23005af8f5,https://upload.wikimedia.org/wikipedia/commons/0/06/Meridiastra_calcar_%2842551733071%29.jpg,25110,Category:Murramarang_National_Park,North Durras Road,-35.63166667,150.3177778,Durras North,New South Wales,Australia,data/train/images/0/2/3/023c7b23005af8f5.jpg
769573,017284f6f85d791f,https://upload.wikimedia.org/wikipedia/commons/6/65/The_Royal_National_Park_Coast_Track_-_panoramio.jpg,177194,Category:Royal_National_Park,Karani Trail,-34.13166667,151.0511111,,New South Wales,Australia,data/train/images/0/1/7/017284f6f85d791f.jpg
786487,014307f954bb9018,https://upload.wikimedia.org/wikipedia/commons/e/eb/Botany_Bay_NSW_2019%2C_Australia_-_panoramio_%281%29.jpg,68675,"Category:Botany_Bay,_Sydney",Botany Bay,-33.983333,151.183333,Sydney,New South Wales,Australia,data/train/images/0/1/4/014307f954bb9018.jpg
828083,0104853f9ae1d853,https://upload.wikimedia.org/wikipedia/commons/7/7b/Melodorum_leichhardtii_twining.jpg,102197,Category:Mount_Archer_National_Park,Zamia Walk,-23.32527778,150.58194444,Rockhampton,Queensland,Australia,data/train/images/0/1/0/0104853f9ae1d853.jpg
842360,002b338be37f9438,https://upload.wikimedia.org/wikipedia/commons/0/0e/Hawkesbury_River_36.jpg,37844,Category:Hawkesbury_River,Patonga,-33.565,151.3,,New South Wales,Australia,data/train/images/0/0/2/002b338be37f9438.jpg
881187,025f0f8e82412deb,https://upload.wikimedia.org/wikipedia/commons/7/7a/Old_sign_on_Evans_Ridge_-_panoramio.jpg,195510,Category:Abel_Tasman_National_Park,Tasman District,-40.90002778,172.9715,,Tasman,New Zealand,data/train/images/0/2/5/025f0f8e82412deb.jpg
892008,026366a4e0311a57,https://upload.wikimedia.org/wikipedia/commons/2/2a/Rene_Farrell_YM.jpg,166222,Category:Adelaide_Oval,,-34.91555556,138.59611111,Adelaide,South Australia,Australia,data/train/images/0/2/6/026366a4e0311a57.jpg
897454,00df9b8cece194bf,https://upload.wikimedia.org/wikipedia/commons/6/60/Dales_Gorge%2C_WA.jpg,90544,Category:Karijini_National_Park,Hamersley Gorge Road,-22.2506,117.976,,Western Australia,Australia,data/train/images/0/0/d/00df9b8cece194bf.jpg
910031,0082c91621b75dc5,https://upload.wikimedia.org/wikipedia/commons/d/d7/Tonkin_hwy_sth_end_gnangarra.JPG,88115,Category:Darling_Range,Mount Cooke,-32.4167,116.3,,Western Australia,Australia,data/train/images/0/0/8/0082c91621b75dc5.jpg
913054,02dc7a8f3fc9dba8,https://upload.wikimedia.org/wikipedia/commons/e/e0/Mount_Ruapehu_January2005.jpg,31601,Category:Mount_Ruapehu,Ruapehu District,-39.28166667,175.56861111,,Manawatū-Whanganui,New Zealand,data/train/images/0/2/d/02dc7a8f3fc9dba8.jpg
933156,02c3a94d6319de54,https://upload.wikimedia.org/wikipedia/commons/9/93/Uluru_before_Sunrise_-_2013.04_-_panoramio.jpg,148806,Category:Uluru-Kata_Tjuta_National_Park,Petermann,-25.322076,130.985732,,,Australia,data/train/images/0/2/c/02c3a94d6319de54.jpg
933271,0192263fd4bee8fc,https://upload.wikimedia.org/wikipedia/commons/3/3d/%281%29GPO_Sydney-3.jpg,131538,"Category:General_Post_Office,_Sydney",Sydney General Post Office,-33.867773,151.207748,Sydney,New South Wales,Australia,data/train/images/0/1/9/0192263fd4bee8fc.jpg
942966,00c264a378ff3b45,https://upload.wikimedia.org/wikipedia/commons/8/89/Red-Browed_Firetail_-_adult_and_young.jpg,84187,Category:Bunya_Mountains_National_Park,Bunya Mountains,-26.79944444,151.53694444,,Queensland,Australia,data/train/images/0/0/c/00c264a378ff3b45.jpg
947618,0018ab53f32f84fd,https://upload.wikimedia.org/wikipedia/commons/b/bc/Mt_Remarkable_summit_path_-_panoramio_%281%29.jpg,195301,Category:Flinders_Ranges,Moolooloo,-30.92,138.62,,South Australia,Australia,data/train/images/0/0/1/0018ab53f32f84fd.jpg
990001,022df2e87116127c,http://upload.wikimedia.org/wikipedia/commons/4/46/Georges_River_Sailing_Club.jpg,156077,Category:Georges_River,,-33.964,150.981,Sydney,New South Wales,Australia,data/train/images/0/2/2/022df2e87116127c.jpg
996981,02590156bd205743,https://upload.wikimedia.org/wikipedia/commons/a/a7/Wellington_%286793560155%29.jpg,139513,Category:Te_Papa_Tongarewa,Museum of New Zealand Te Papa Tongarewa,-41.29055556,174.78194444,Wellington,Wellington,New Zealand,data/train/images/0/2/5/02590156bd205743.jpg
998795,00f3973057e9866e,https://upload.wikimedia.org/wikipedia/commons/f/fc/Asali_gnangarra_160915-104.jpg,183340,Category:Monarto_Zoo,,-35.1021,139.142,,South Australia,Australia,data/train/images/0/0/f/00f3973057e9866e.jpg
1004274,01f1eab911294393,http://upload.wikimedia.org/wikipedia/commons/6/69/Chilean_Flamingo-Adelaide_Zoo.jpg,101412,Category:Adelaide_Zoo,Adelaide Zoo,-34.91408889,138.60579444,Adelaide,South Australia,Australia,data/train/images/0/1/f/01f1eab911294393.jpg
1026577,01529663008058a1,https://upload.wikimedia.org/wikipedia/commons/3/36/John_McDougall_Stuart.JPG,104359,"Category:Victoria_Square,_Adelaide",Queen Street,-34.93055556,138.60416667,Adelaide,South Australia,Australia,data/train/images/0/1/5/01529663008058a1.jpg
1030332,003ff2ff9839d040,http://upload.wikimedia.org/wikipedia/commons/8/8f/St_Patrick%27s_Cathedral_%28Gothic_Revival_Style%29.jpg,105160,"Category:St_Patrick's_Cathedral,_Melbourne",,-37.8101,144.976,Melbourne,Victoria,Australia,data/train/images/0/0/3/003ff2ff9839d040.jpg
1064170,02009373f7845a3d,http://upload.wikimedia.org/wikipedia/commons/1/10/Monkey_Mia_Ausblick_WA.JPG,90733,Category:Monkey_Mia,Monkey Mia Road,-25.7947,113.717,Denham,Western Australia,Australia,data/train/images/0/2/0/02009373f7845a3d.jpg
1077614,014fa8cbf99bdb3d,https://upload.wikimedia.org/wikipedia/commons/2/2e/Naracoorte_Caves.jpg,52789,Category:Naracoorte_Caves_National_Park,Caves Cafe,-37.03611111,140.79666667,,South Australia,Australia,data/train/images/0/1/4/014fa8cbf99bdb3d.jpg
1102636,02f16f4259ff0628,https://upload.wikimedia.org/wikipedia/commons/b/bf/SydneyAMPTower_gobeirne.jpg,12440,Category:Sydney_Tower,Westfield Sydney,-33.870278,151.208889,Sydney,New South Wales,Australia,data/train/images/0/2/f/02f16f4259ff0628.jpg
1139230,013d911e388b33af,https://upload.wikimedia.org/wikipedia/commons/2/24/Milford_Sound_in_Fiordland_National_Park_17.jpg,50915,Category:Milford_Sound,Southland,-44.61666667,167.86666667,,Southland,New Zealand,data/train/images/0/1/3/013d911e388b33af.jpg
1161540,00c83dc09ebb75fd,https://upload.wikimedia.org/wikipedia/commons/3/36/Royal_National_Park_NSW_2233%2C_Australia_-_panoramio_%2835%29.jpg,177194,Category:Royal_National_Park,Karani Trail,-34.13166667,151.0511111,,New South Wales,Australia,data/train/images/0/0/c/00c83dc09ebb75fd.jpg
1165660,0054c77193783392,https://upload.wikimedia.org/wikipedia/commons/c/cb/Civic_Theatre_Interior_Auckland_3_%2831629714160%29.jpg,35608,Category:Auckland_Civic_Theatre,The Civic,-36.8511,174.764,Auckland,Auckland,New Zealand,data/train/images/0/0/5/0054c77193783392.jpg
1179682,0093983fb649920c,http://upload.wikimedia.org/wikipedia/commons/a/ac/Lake_Rotorua_panorama_1.jpg,10671,Category:Lake_Rotorua,Ngongotahā,-38.08333333,176.26944444,Ngongotahā,Bay of Plenty,New Zealand,data/train/images/0/0/9/0093983fb649920c.jpg
1183203,01ec13cb0e5d4dc9,https://upload.wikimedia.org/wikipedia/commons/b/b6/Milford_Sound_%28New_Zealand%29_-_9.jpg,50915,Category:Milford_Sound,Southland,-44.61666667,167.86666667,,Southland,New Zealand,data/train/images/0/1/e/01ec13cb0e5d4dc9.jpg
1202337,0147b0882d53969d,https://upload.wikimedia.org/wikipedia/commons/c/c1/Royal_National_Park_-_panoramio_%2832%29.jpg,177194,Category:Royal_National_Park,Karani Trail,-34.13166667,151.0511111,,New South Wales,Australia,data/train/images/0/1/4/0147b0882d53969d.jpg
1211428,0064d489edcc96c0,https://upload.wikimedia.org/wikipedia/commons/6/6a/Broken_tree%2C_Little_Desert_National_Park.JPG,150194,Category:Little_Desert_National_Park,Lillimur,-36.6067,141.189,,Victoria,Australia,data/train/images/0/0/6/0064d489edcc96c0.jpg
1213177,016f4f8ef0824744,https://upload.wikimedia.org/wikipedia/commons/f/fe/Tribe_%285811887838%29.jpg,27254,Category:Docklands_Stadium,Marvel Stadium,-37.81638889,144.9475,Melbourne,Victoria,Australia,data/train/images/0/1/6/016f4f8ef0824744.jpg
1214159,0193f3d1561a002c,https://upload.wikimedia.org/wikipedia/commons/9/97/Polycalymma_stuartii_%2832663694885%29.jpg,174812,Category:Wyperfeld_National_Park,Millers Track,-35.3892,141.877,,Victoria,Australia,data/train/images/0/1/9/0193f3d1561a002c.jpg
1245871,011f6a81c06fcf80,https://upload.wikimedia.org/wikipedia/commons/2/23/Freo_prison_WMAU_gnangarra-130.jpg,110717,Category:Fremantle_Prison,Fremantle Prison,-32.055039,115.753177,Fremantle,Western Australia,Australia,data/train/images/0/1/1/011f6a81c06fcf80.jpg
1255042,02cd816a43645f68,https://upload.wikimedia.org/wikipedia/commons/8/85/Hattah_Banner.JPG,36971,Category:Hattah-Kulkyne_National_Park,Bitterang Track,-34.6872,142.382,,Victoria,Australia,data/train/images/0/2/c/02cd816a43645f68.jpg
1272592,005c11567811bfea,https://upload.wikimedia.org/wikipedia/commons/9/9c/Royal_National_Park_NSW_2233%2C_Australia_-_panoramio_%28266%29.jpg,177194,Category:Royal_National_Park,Karani Trail,-34.13166667,151.0511111,,New South Wales,Australia,data/train/images/0/0/5/005c11567811bfea.jpg
1280148,006db62a0e6c47ae,https://upload.wikimedia.org/wikipedia/commons/f/fd/%281%29Sydney_Town_Hall_004.jpg,59068,Category:Sydney_Town_Hall,Sydney Town Hall,-33.8732,151.206,Sydney,New South Wales,Australia,data/train/images/0/0/6/006db62a0e6c47ae.jpg
1305345,0110b07a4268b627,https://upload.wikimedia.org/wikipedia/commons/b/b6/Orb-weaver_Spider_Web_%2834137809912%29.jpg,184919,Category:Grampians_National_Park,Glenelg River Road,-37.2078,142.4,,Victoria,Australia,data/train/images/0/1/1/0110b07a4268b627.jpg
1322726,00d7fc5c89ba3b70,https://upload.wikimedia.org/wikipedia/commons/3/39/Nan_Tien_Buddhist_Temple.jpg,126104,Category:Nan_Tien_Temple,Nan Tien Temple,-34.46666667,150.84861111,Wollongong City Council,New South Wales,Australia,data/train/images/0/0/d/00d7fc5c89ba3b70.jpg
1329538,0239ff8b230664a9,https://upload.wikimedia.org/wikipedia/commons/9/9d/Perth_%282052456780%29.jpg,132123,"Category:Kings_Park,_Western_Australia",Kings Park Botanic Gardens,-31.96213495,115.83171208,,Western Australia,Australia,data/train/images/0/2/3/0239ff8b230664a9.jpg
1333412,0083d4e5a1da6430,https://upload.wikimedia.org/wikipedia/commons/6/6d/1961_Belmont_Dorset_ski_runabout_%22Matilda%22_%287854060846%29.jpg,139899,Category:Australian_National_Maritime_Museum,Waterfront Promenade,-33.8692,151.199,Sydney,New South Wales,Australia,data/train/images/0/0/8/0083d4e5a1da6430.jpg
1336146,007171b2b77b2d63,https://upload.wikimedia.org/wikipedia/commons/c/c6/Parliament_House%2C_Alice_Street_facade%2C_Brisbane_01.jpg,48483,"Category:Parliament_House,_Brisbane",QUT Garden Points campus,-27.4754,153.027,Brisbane City,Queensland,Australia,data/train/images/0/0/7/007171b2b77b2d63.jpg
1362154,02ae4336890a67cc,https://upload.wikimedia.org/wikipedia/commons/f/f3/Patch_of_land_behind_the_Crowne_Plaza_hotel_in_Canberra_November_2018.jpg,154090,"Category:Glebe_Park,_Canberra",,-35.28227,149.13629,Canberra,,Australia,data/train/images/0/2/a/02ae4336890a67cc.jpg
1372740,02a1d46f115fa74a,https://upload.wikimedia.org/wikipedia/commons/9/9b/Mount_Anne_area_-_Mt_Anne_-_2805452046.jpg,177386,"Category:Mount_Anne,_Tasmania",Mount Anne,-42.942,146.424,,Tasmania,Australia,data/train/images/0/2/a/02a1d46f115fa74a.jpg
1376956,02e735e5a59b2a18,https://upload.wikimedia.org/wikipedia/commons/f/fc/Opuntia_robusta_close_up.jpg,102197,Category:Mount_Archer_National_Park,Zamia Walk,-23.32527778,150.58194444,Rockhampton,Queensland,Australia,data/train/images/0/2/e/02e735e5a59b2a18.jpg
1415634,0061dab6a2c5471d,https://upload.wikimedia.org/wikipedia/commons/4/46/Ferrosilite-111338.jpg,6577,Category:Mount_Tarawera,Rotorua Lakes District,-38.22675278,176.50646944,,Bay of Plenty,New Zealand,data/train/images/0/0/6/0061dab6a2c5471d.jpg
1475285,016a5d3989a3c39b,https://upload.wikimedia.org/wikipedia/commons/d/d9/Melbourne_VIC_3004%2C_Australia_-_panoramio_%28129%29.jpg,119608,"Category:Parliament_House,_Melbourne",Parliament,-37.8111,144.973,Melbourne,Victoria,Australia,data/train/images/0/1/6/016a5d3989a3c39b.jpg
1486950,01c1cb5e3f84ef84,https://upload.wikimedia.org/wikipedia/commons/3/35/Cape_Otway_Lighthouse_%2812051147803%29.jpg,100764,Category:Cape_Otway_Lighthouse,,-38.85722222,143.51166667,,Victoria,Australia,data/train/images/0/1/c/01c1cb5e3f84ef84.jpg
1497868,013ad310e0804ba7,https://upload.wikimedia.org/wikipedia/commons/7/78/Varanus_varius_%28Lace_Monitor%29_%284363866833%29.jpg,99710,Category:Croajingolong_National_Park,Wingan Link Road,-37.6167,149.4667,,Victoria,Australia,data/train/images/0/1/3/013ad310e0804ba7.jpg
1500661,015df0c49cd4de9a,https://upload.wikimedia.org/wikipedia/commons/b/b8/1924_Ner-A-Car_motorcycle_%286794234196%29.jpg,157922,Category:Powerhouse_Museum,Powerhouse Museum,-33.87861111,151.19944444,Sydney,New South Wales,Australia,data/train/images/0/1/5/015df0c49cd4de9a.jpg
1502149,00a4a469056675d2,https://upload.wikimedia.org/wikipedia/commons/a/ac/Uloola_Falls_-_panoramio.jpg,177194,Category:Royal_National_Park,Karani Trail,-34.13166667,151.0511111,,New South Wales,Australia,data/train/images/0/0/a/00a4a469056675d2.jpg
1528685,0124ad25dbd9c741,https://upload.wikimedia.org/wikipedia/commons/7/77/%281%29Myuna_Creek-4.jpg,109551,Category:Heathcote_National_Park,Pipeline Trail,-34.09833333,150.9761111,Sydney,New South Wales,Australia,data/train/images/0/1/2/0124ad25dbd9c741.jpg
1535693,02031d7855e58e14,https://upload.wikimedia.org/wikipedia/commons/6/6c/St_Paul_S_Cathedral_Melbourne_%2841726268%29.jpeg,105983,"Category:Swanston_Street,_Melbourne",,-37.8064,144.963,Melbourne,Victoria,Australia,data/train/images/0/2/0/02031d7855e58e14.jpg
